Hora,Temperatura,Umidade,UV,PH,Umidade
0,"20,00","84,00","1,00","5,49","63,00%"
1,"21,00","83,00","1,00","5,49","63,70%"
2,"20,00","84,00","1,00","5,48","65,00%"
3,"22,00","83,00","2,00","5,48","68,30%"
4,"21,00","82,00","2,00","5,48","68,90%"
5,"23,00","83,00","3,00","5,47","70,00%"
6,"22,00","82,00","3,00","5,47","71,00%"
7,"23,00","83,00","2,00","5,47","71,70%"
8,"24,00","81,00","3,00","5,46","72,00%"
9,"23,00","82,00","4,00","5,46","66,00%"
10,"25,00","81,00","5,00","5,46","63,00%"
11,"24,00","81,00","6,00","5,45","59,20%"
12,"26,00","80,00","7,00","5,45","51,00%"
13,"25,00","81,00","7,00","5,45","45,00%"
14,"26,00","80,00","6,00","5,44","42,00%"
15,"24,00","82,00","5,00","5,44","41,80%"
16,"23,00","81,00","4,00","5,43","42,10%"
17,"22,00","82,00","3,00","5,43","43,00%"
18,"23,00","83,00","2,00","5,43","50,00%"
19,"22,00","82,00","2,00","5,42","51,60%"
20,"21,00","83,00","2,00","5,42","53,00%"
21,"22,00","82,00","1,00","5,41","57,00%"
22,"21,00","83,00","1,00","5,41","59,00%"
23,"21,00","84,00","1,00","5,4","61,20%"
24,"20,00","84,00","1,00","5,4","63,00%"
